 本行信息时间(北京时间)      位置X(km,BCRS)      位置Y(km,BCRS)      位置Z(km,BCRS)   速度VX(km/s,BCRS)   速度VY(km/s,BCRS)   速度VZ(km/s,BCRS)    定轨或预报
2023-04-20B14:16:30.000   -131965539.379025    -68235059.806415    -29541936.406898        17.392550601       -19.065891043        -7.558700617        1
2023-04-20B14:17: 0.000   -131965018.077237    -68235631.951090    -29542163.288232        17.361003061       -19.077085821        -7.566714586        1
2023-04-20B14:17:30.000   -131964497.712857    -68236204.431453    -29542390.409343        17.330053940       -19.088269549        -7.574685526        1
2023-04-20B14:18: 0.000   -131963978.268180    -68236777.247114    -29542617.768923        17.299686898       -19.099438343        -7.582612353        1
2023-04-20B14:18:30.000   -131963459.725981    -68237350.397568    -29542845.365633        17.269886156       -19.110588604        -7.590494098        1
2023-04-20B14:19: 0.000   -131962942.069500    -68237923.882211    -29543073.198109        17.240636475       -19.121716991        -7.598329905        1
2023-04-20B14:19:30.000   -131962425.282429    -68238497.700338    -29543301.264961        17.211923130       -19.132820413        -7.606119015        1
2023-04-20B14:20: 0.000   -131961909.348892    -68239071.851157    -29543529.564776        17.183731894       -19.143896006        -7.613860764        1
2023-04-20B14:20:30.000   -131961394.253432    -68239646.333794    -29543758.096127        17.156049017       -19.154941120        -7.621554573        1
2023-04-20B14:21: 0.000   -131960879.981000    -68240221.147295    -29543986.857566        17.128861207       -19.165953307        -7.629199944        1
2023-04-20B14:21:30.000   -131960366.516938    -68240796.290640    -29544215.847635        17.102155615       -19.176930306        -7.636796451        1
2023-04-20B14:22: 0.000   -131959853.846965    -68241371.762741    -29544445.064861        17.075919812       -19.187870031        -7.644343740        1
2023-04-20B14:22:30.000   -131959341.957171    -68241947.562450    -29544674.507764        17.050141779       -19.198770558        -7.651841516        1
2023-04-20B14:23: 0.000   -131958830.833997    -68242523.688565    -29544904.174855        17.024809889       -19.209630120        -7.659289545        1
2023-04-20B14:23:30.000   -131958320.464229    -68243100.139831    -29545134.064638        16.999912889       -19.220447091        -7.666687646        1
2023-04-20B14:24: 0.000   -131957810.834984    -68243676.914949    -29545364.175613        16.975439892       -19.231219979        -7.674035689        1
2023-04-20B14:24:30.000   -131957301.933701    -68244254.012575    -29545594.506278        16.951380356       -19.241947417        -7.681333589        1
2023-04-20B14:25: 0.000   -131956793.748130    -68244831.431327    -29545825.055126        16.927724077       -19.252628159        -7.688581304        1
2023-04-20B14:25:30.000   -131956286.266323    -68245409.169786    -29546055.820654        16.904461172       -19.263261063        -7.695778832        1
2023-04-20B14:26: 0.000   -131955779.476622    -68245987.226502    -29546286.801355        16.881582070       -19.273845095        -7.702926207        1
2023-04-20B14:26:30.000   -131955273.367654    -68246565.599994    -29546517.995725        16.859077499       -19.284379314        -7.710023495        1
2023-04-20B14:27: 0.000   -131954767.928317    -68247144.288754    -29546749.402265        16.836938473       -19.294862872        -7.717070794        1
2023-04-20B14:27:30.000   -131954263.147777    -68247723.291252    -29546981.019474        16.815156287       -19.305295001        -7.724068231        1
2023-04-20B14:28: 0.000   -131953759.015456    -68248302.605933    -29547212.845861        16.793722499       -19.315675015        -7.731015957        1
2023-04-20B14:28:30.000   -131953255.521025    -68248882.231226    -29547444.879936        16.772628927       -19.326002301        -7.737914149        1
2023-04-20B14:29: 0.000   -131952752.654397    -68249462.165539    -29547677.120217        16.751867637       -19.336276315        -7.744763005        1
