 本行信息时间(北京时间)      位置X(km,BCRS)      位置Y(km,BCRS)      位置Z(km,BCRS)   速度VX(km/s,BCRS)   速度VY(km/s,BCRS)   速度VZ(km/s,BCRS)    定轨或预报
2023-04-25B03:21: 0.000   -126014377.700048    -77063057.716223    -33337237.495073        16.301774635       -22.585407289        -9.810589939        1
2023-04-25B03:21:30.000   -126013888.637517    -77063735.274245    -33337531.811342        16.302394302       -22.585127281        -9.810494570        1
2023-04-25B03:22: 0.000   -126013399.556374    -77064412.823847    -33337826.124742        16.303015497       -22.584845991        -9.810398672        1
2023-04-25B03:22:30.000   -126012910.456572    -77065090.364991    -33338120.435257        16.303638229       -22.584563410        -9.810302243        1
2023-04-25B03:23: 0.000   -126012421.338065    -77065767.897638    -33338414.742871        16.304262505       -22.584279530        -9.810205279        1
2023-04-25B03:23:30.000   -126011932.200806    -77066445.421750    -33338709.047568        16.304888332       -22.583994342        -9.810107774        1
2023-04-25B03:24: 0.000   -126011443.044750    -77067122.937286    -33339003.349332        16.305515718       -22.583707835        -9.810009726        1
2023-04-25B03:24:30.000   -126010953.869848    -77067800.444207    -33339297.648146        16.306144670       -22.583420002        -9.809911129        1
2023-04-25B03:25: 0.000   -126010464.676054    -77068477.942473    -33339591.943994        16.306775197       -22.583130832        -9.809811980        1
2023-04-25B03:25:30.000   -126009975.463320    -77069155.432043    -33339886.236860        16.307407305       -22.582840317        -9.809712275        1
2023-04-25B03:26: 0.000   -126009486.231599    -77069832.912878    -33340180.526725        16.308041003       -22.582548446        -9.809612010        1
2023-04-25B03:26:30.000   -126008996.980844    -77070510.384936    -33340474.813574        16.308676298       -22.582255210        -9.809511179        1
2023-04-25B03:27: 0.000   -126008507.711005    -77071187.848177    -33340769.097390        16.309313198       -22.581960600        -9.809409779        1
2023-04-25B03:27:30.000   -126008018.422036    -77071865.302558    -33341063.378155        16.309951712       -22.581664604        -9.809307806        1
2023-04-25B03:28: 0.000   -126007529.113887    -77072542.748039    -33341357.655853        16.310591846       -22.581367215        -9.809205255        1
2023-04-25B03:28:30.000   -126007039.786509    -77073220.184577    -33341651.930465        16.311233610       -22.581068421        -9.809102121        1
2023-04-25B03:29: 0.000   -126006550.439854    -77073897.612130    -33341946.201974        16.311877011       -22.580768213        -9.808998401        1
2023-04-25B03:29:30.000   -126006061.073872    -77074575.030656    -33342240.470363        16.312522057       -22.580466581        -9.808894089        1
2023-04-25B03:30: 0.000   -126005571.688514    -77075252.440111    -33342534.735614        16.313168756       -22.580163513        -9.808789182        1
2023-04-25B03:30:30.000   -126005082.283730    -77075929.840452    -33342828.997708        16.313817117       -22.579859001        -9.808683674        1
2023-04-25B03:31: 0.000   -126004592.859470    -77076607.231636    -33343123.256628        16.314467148       -22.579553033        -9.808577560        1
2023-04-25B03:31:30.000   -126004103.415684    -77077284.613619    -33343417.512355        16.315118857       -22.579245598        -9.808470837        1
2023-04-25B03:32: 0.000   -126003613.952322    -77077961.986357    -33343711.764872        16.315772252       -22.578936687        -9.808363499        1
2023-04-25B03:32:30.000   -126003124.469332    -77078639.349806    -33344006.014159        16.316427342       -22.578626289        -9.808255542        1
2023-04-25B03:33: 0.000   -126002634.966664    -77079316.703920    -33344300.260198        16.317084135       -22.578314392        -9.808146961        1
2023-04-25B03:33:30.000   -126002145.444267    -77079994.048654    -33344594.502971        16.317742640       -22.578000986        -9.808037750        1
2023-04-25B03:34: 0.000   -126001655.902089    -77080671.383964    -33344888.742457        16.318402865       -22.577686059        -9.807927905        1
2023-04-25B03:34:30.000   -126001166.340078    -77081348.709803    -33345182.978639        16.319064819       -22.577369601        -9.807817422        1
2023-04-25B03:35: 0.000   -126000676.758182    -77082026.026124    -33345477.211496        16.319728511       -22.577051601        -9.807706294        1
2023-04-25B03:35:30.000   -126000187.156349    -77082703.332883    -33345771.441010        16.320393949       -22.576732046        -9.807594517        1
2023-04-25B03:36: 0.000   -125999697.534527    -77083380.630032    -33346065.667160        16.321061142       -22.576410926        -9.807482086        1
2023-04-25B03:36:30.000   -125999207.892663    -77084057.917523    -33346359.889928        16.321730099       -22.576088229        -9.807368995        1
2023-04-25B03:37: 0.000   -125998718.230704    -77084735.195309    -33346654.109293        16.322400829       -22.575763943        -9.807255239        1
2023-04-25B03:37:30.000   -125998228.548596    -77085412.463343    -33346948.325236        16.323073340       -22.575438056        -9.807140814        1
2023-04-25B03:38: 0.000   -125997738.846286    -77086089.721577    -33347242.537735        16.323747642       -22.575110557        -9.807025713        1
2023-04-25B03:38:30.000   -125997249.123719    -77086766.969961    -33347536.746772        16.324423744       -22.574781434        -9.806909931        1
2023-04-25B03:39: 0.000   -125996759.380843    -77087444.208446    -33347830.952324        16.325101654       -22.574450673        -9.806793464        1
2023-04-25B03:39:30.000   -125996269.617602    -77088121.436984    -33348125.154373        16.325781383       -22.574118264        -9.806676304        1
2023-04-25B03:40: 0.000   -125995779.833942    -77088798.655526    -33348419.352896        16.326462938       -22.573784194        -9.806558447        1
2023-04-25B03:40:30.000   -125995290.029807    -77089475.864019    -33348713.547873        16.327146330       -22.573448450        -9.806439888        1
2023-04-25B03:41: 0.000   -125994800.205143    -77090153.062416    -33349007.739282        16.327831568       -22.573111020        -9.806320620        1
2023-04-25B03:41:30.000   -125994310.359895    -77090830.250664    -33349301.927103        16.328518661       -22.572771891        -9.806200637        1
2023-04-25B03:42: 0.000   -125993820.494005    -77091507.428712    -33349596.111313        16.329207619       -22.572431050        -9.806079935        1
2023-04-25B03:42:30.000   -125993330.607419    -77092184.596509    -33349890.291891        16.329898451       -22.572088484        -9.805958507        1
2023-04-25B03:43: 0.000   -125992840.700079    -77092861.754004    -33350184.468816        16.330591166       -22.571744180        -9.805836347        1
2023-04-25B03:43:30.000   -125992350.771930    -77093538.901143    -33350478.642065        16.331285775       -22.571398125        -9.805713449        1
2023-04-25B03:44: 0.000   -125991860.822914    -77094216.037874    -33350772.811616        16.331982286       -22.571050305        -9.805589807        1
2023-04-25B03:44:30.000   -125991370.852973    -77094893.164143    -33351066.977446        16.332680710       -22.570700707        -9.805465416        1
2023-04-25B03:45: 0.000   -125990880.862052    -77095570.279898    -33351361.139533        16.333381057       -22.570349318        -9.805340268        1
2023-04-25B03:45:30.000   -125990390.850091    -77096247.385084    -33351655.297854        16.334083336       -22.569996123        -9.805214359        1
2023-04-25B03:46: 0.000   -125989900.817032    -77096924.479647    -33351949.452387        16.334787557       -22.569641109        -9.805087680        1
2023-04-25B03:46:30.000   -125989410.762818    -77097601.563532    -33352243.603107        16.335493731       -22.569284262        -9.804960227        1
2023-04-25B03:47: 0.000   -125988920.687389    -77098278.636684    -33352537.749993        16.336201867       -22.568925567        -9.804831993        1
2023-04-25B03:47:30.000   -125988430.590686    -77098955.699048    -33352831.893019        16.336911975       -22.568565011        -9.804702971        1
2023-04-25B03:48: 0.000   -125987940.472650    -77099632.750566    -33353126.032163        16.337624066       -22.568202578        -9.804573154        1
2023-04-25B03:48:30.000   -125987450.333222    -77100309.791184    -33353420.167400        16.338338149       -22.567838254        -9.804442537        1
2023-04-25B03:49: 0.000   -125986960.172341    -77100986.820843    -33353714.298707        16.339054236       -22.567472025        -9.804311112        1
2023-04-25B03:49:30.000   -125986469.989948    -77101663.839486    -33354008.426059        16.339772336       -22.567103875        -9.804178873        1
2023-04-25B03:50: 0.000   -125985979.785981    -77102340.847056    -33354302.549431        16.340492460       -22.566733790        -9.804045813        1
2023-04-25B03:50:30.000   -125985489.560380    -77103017.843494    -33354596.668799        16.341214619       -22.566361755        -9.803911925        1
2023-04-25B03:51: 0.000   -125984999.313083    -77103694.828741    -33354890.784138        16.341938822       -22.565987753        -9.803777201        1
2023-04-25B03:51:30.000   -125984509.044030    -77104371.802739    -33355184.895423        16.342665081       -22.565611770        -9.803641636        1
2023-04-25B03:52: 0.000   -125984018.753158    -77105048.765428    -33355479.002628        16.343393405       -22.565233790        -9.803505222        1
2023-04-25B03:52:30.000   -125983528.440405    -77105725.716746    -33355773.105728        16.344123807       -22.564853797        -9.803367951        1
2023-04-25B03:53: 0.000   -125983038.105709    -77106402.656635    -33356067.204696        16.344856297       -22.564471775        -9.803229817        1
2023-04-25B03:53:30.000   -125982547.749006    -77107079.585033    -33356361.299508        16.345590885       -22.564087709        -9.803090811        1
2023-04-25B03:54: 0.000   -125982057.370234    -77107756.501877    -33356655.390136        16.346327583       -22.563701581        -9.802950928        1
2023-04-25B03:54:30.000   -125981566.969330    -77108433.407107    -33356949.476555        16.347066402       -22.563313375        -9.802810158        1
2023-04-25B03:55: 0.000   -125981076.546229    -77109110.300659    -33357243.558737        16.347807352       -22.562923075        -9.802668496        1
2023-04-25B03:55:30.000   -125980586.100867    -77109787.182470    -33357537.636656        16.348550445       -22.562530664        -9.802525932        1
2023-04-25B03:56: 0.000   -125980095.633181    -77110464.052477    -33357831.710284        16.349295692       -22.562136125        -9.802382459        1
2023-04-25B03:56:30.000   -125979605.143104    -77111140.910616    -33358125.779594        16.350043104       -22.561739440        -9.802238070        1
2023-04-25B03:57: 0.000   -125979114.630573    -77111817.756822    -33358419.844559        16.350792693       -22.561340593        -9.802092756        1
2023-04-25B03:57:30.000   -125978624.095521    -77112494.591030    -33358713.905150        16.351544470       -22.560939567        -9.801946509        1
2023-04-25B03:58: 0.000   -125978133.537882    -77113171.413174    -33359007.961340        16.352298447       -22.560536342        -9.801799322        1
2023-04-25B03:58:30.000   -125977642.957592    -77113848.223188    -33359302.013100        16.353054635       -22.560130902        -9.801651186        1
2023-04-25B03:59: 0.000   -125977152.354582    -77114525.021006    -33359596.060401        16.353813046       -22.559723229        -9.801502093        1
2023-04-25B03:59:30.000   -125976661.728787    -77115201.806559    -33359890.103216        16.354573691       -22.559313303        -9.801352035        1
2023-04-25B04:00: 0.000   -125976171.080138    -77115878.579781    -33360184.141514        16.355336583       -22.558901108        -9.801201003        1
2023-04-25B04:00:30.000   -125975680.408569    -77116555.340603    -33360478.175266        16.356101733       -22.558486624        -9.801048988        1
2023-04-25B04:01: 0.000   -125975189.714012    -77117232.088956    -33360772.204443        16.356869153       -22.558069832        -9.800895983        1
2023-04-25B04:01:30.000   -125974698.996397    -77117908.824770    -33361066.229015        16.357638855       -22.557650714        -9.800741978        1
2023-04-25B04:02: 0.000   -125974208.255657    -77118585.547975    -33361360.248952        16.358410851       -22.557229250        -9.800586964        1
2023-04-25B04:02:30.000   -125973717.491723    -77119262.258501    -33361654.264223        16.359185153       -22.556805420        -9.800430933        1
2023-04-25B04:03: 0.000   -125973226.704525    -77119938.956276    -33361948.274797        16.359961774       -22.556379206        -9.800273875        1
2023-04-25B04:03:30.000   -125972735.893993    -77120615.641229    -33362242.280645        16.360740725       -22.555950588        -9.800115782        1
2023-04-25B04:04: 0.000   -125972245.060058    -77121292.313287    -33362536.281734        16.361522020       -22.555519545        -9.799956644        1
2023-04-25B04:04:30.000   -125971754.202649    -77121968.972378    -33362830.278033        16.362305670       -22.555086057        -9.799796453        1
2023-04-25B04:05: 0.000   -125971263.321694    -77122645.618426    -33363124.269510        16.363091688       -22.554650104        -9.799635197        1
2023-04-25B04:05:30.000   -125970772.417123    -77123322.251359    -33363418.256134        16.363880087       -22.554211664        -9.799472869        1
2023-04-25B04:06: 0.000   -125970281.488865    -77123998.871101    -33363712.237872        16.364670879       -22.553770719        -9.799309458        1
2023-04-25B04:06:30.000   -125969790.536847    -77124675.477577    -33364006.214691        16.365464078       -22.553327245        -9.799144954        1
2023-04-25B04:07: 0.000   -125969299.560996    -77125352.070710    -33364300.186558        16.366259695       -22.552881222        -9.798979348        1
2023-04-25B04:07:30.000   -125968808.561241    -77126028.650424    -33364594.153440        16.367057743       -22.552432628        -9.798812631        1
2023-04-25B04:08: 0.000   -125968317.537507    -77126705.216642    -33364888.115305        16.367858237       -22.551981441        -9.798644791        1
2023-04-25B04:08:30.000   -125967826.489722    -77127381.769285    -33365182.072117        16.368661188       -22.551527640        -9.798475818        1
2023-04-25B04:09: 0.000   -125967335.417811    -77128058.308274    -33365476.023842        16.369466610       -22.551071202        -9.798305703        1
2023-04-25B04:09:30.000   -125966844.321700    -77128734.833530    -33365769.970447        16.370274516       -22.550612105        -9.798134434        1
2023-04-25B04:10: 0.000   -125966353.201315    -77129411.344973    -33366063.911897        16.371084919       -22.550150325        -9.797962002        1
2023-04-25B04:10:30.000   -125965862.056580    -77130087.842523    -33366357.848156        16.371897833       -22.549685841        -9.797788396        1
2023-04-25B04:11: 0.000   -125965370.887420    -77130764.326097    -33366651.779189        16.372713271       -22.549218628        -9.797613604        1
2023-04-25B04:11:30.000   -125964879.693759    -77131440.795613    -33366945.704960        16.373531246       -22.548748663        -9.797437617        1
2023-04-25B04:12: 0.000   -125964388.475520    -77132117.250989    -33367239.625433        16.374351773       -22.548275922        -9.797260422        1
2023-04-25B04:12:30.000   -125963897.232627    -77132793.692140    -33367533.540573        16.375174864       -22.547800382        -9.797082009        1
2023-04-25B04:13: 0.000   -125963405.965002    -77133470.118983    -33367827.450342        16.376000533       -22.547322017        -9.796902367        1
2023-04-25B04:13:30.000   -125962914.672569    -77134146.531433    -33368121.354703        16.376828796       -22.546840805        -9.796721484        1
2023-04-25B04:14: 0.000   -125962423.355248    -77134822.929403    -33368415.253618        16.377659664       -22.546356719        -9.796539348        1
2023-04-25B04:14:30.000   -125961932.012963    -77135499.312807    -33368709.147051        16.378493152       -22.545869734        -9.796355948        1
2023-04-25B04:15: 0.000   -125961440.645633    -77136175.681558    -33369003.034962        16.379329275       -22.545379826        -9.796171273        1
2023-04-25B04:15:30.000   -125960949.253180    -77136852.035567    -33369296.917314        16.380168046       -22.544886968        -9.795985309        1
2023-04-25B04:16: 0.000   -125960457.835523    -77137528.374746    -33369590.794068        16.381009479       -22.544391135        -9.795798046        1
2023-04-25B04:16:30.000   -125959966.392584    -77138204.699005    -33369884.665184        16.381853589       -22.543892300        -9.795609470        1
2023-04-25B04:17: 0.000   -125959474.924281    -77138881.008254    -33370178.530623        16.382700391       -22.543390437        -9.795419570        1
2023-04-25B04:17:30.000   -125958983.430534    -77139557.302401    -33370472.390345        16.383549898       -22.542885518        -9.795228333        1
2023-04-25B04:18: 0.000   -125958491.911260    -77140233.581354    -33370766.244309        16.384402125       -22.542377518        -9.795035746        1
2023-04-25B04:18:30.000   -125958000.366379    -77140909.845021    -33371060.092476        16.385257087       -22.541866408        -9.794841796        1
2023-04-25B04:19: 0.000   -125957508.795807    -77141586.093307    -33371353.934803        16.386114798       -22.541352161        -9.794646471        1
2023-04-25B04:19:30.000   -125957017.199463    -77142262.326119    -33371647.771250        16.386975274       -22.540834749        -9.794449757        1
2023-04-25B04:20: 0.000   -125956525.577263    -77142938.543360    -33371941.601775        16.387838528       -22.540314143        -9.794251641        1
2023-04-25B04:20:30.000   -125956033.929124    -77143614.744935    -33372235.426335        16.388704577       -22.539790314        -9.794052110        1
2023-04-25B04:21: 0.000   -125955542.254961    -77144290.930746    -33372529.244887        16.389573434       -22.539263234        -9.793851150        1
2023-04-25B04:21:30.000   -125955050.554689    -77144967.100696    -33372823.057389        16.390445116       -22.538732874        -9.793648747        1
2023-04-25B04:22: 0.000   -125954558.828225    -77145643.254686    -33373116.863797        16.391319637       -22.538199203        -9.793444888        1
2023-04-25B04:22:30.000   -125954067.075483    -77146319.392615    -33373410.664068        16.392197012       -22.537662191        -9.793239557        1
2023-04-25B04:23: 0.000   -125953575.296376    -77146995.514383    -33373704.458156        16.393077257       -22.537121808        -9.793032742        1
2023-04-25B04:23:30.000   -125953083.490818    -77147671.619889    -33373998.246017        16.393960387       -22.536578024        -9.792824427        1
2023-04-25B04:24: 0.000   -125952591.658724    -77148347.709031    -33374292.027606        16.394846417       -22.536030808        -9.792614599        1
2023-04-25B04:24:30.000   -125952099.800004    -77149023.781703    -33374585.802878        16.395735364       -22.535480127        -9.792403241        1
2023-04-25B04:25: 0.000   -125951607.914572    -77149699.837803    -33374879.571785        16.396627243       -22.534925950        -9.792190340        1
2023-04-25B04:25:30.000   -125951116.002340    -77150375.877225    -33375173.334283        16.397522069       -22.534368246        -9.791975879        1
2023-04-25B04:26: 0.000   -125950624.063219    -77151051.899862    -33375467.090322        16.398419859       -22.533806981        -9.791759845        1
2023-04-25B04:26:30.000   -125950132.097119    -77151727.905608    -33375760.839857        16.399320627       -22.533242122        -9.791542220        1
2023-04-25B04:27: 0.000   -125949640.103951    -77152403.894353    -33376054.582840        16.400224391       -22.532673637        -9.791322990        1
2023-04-25B04:27:30.000   -125949148.083625    -77153079.865990    -33376348.319221        16.401131166       -22.532101491        -9.791102139        1
2023-04-25B04:28: 0.000   -125948656.036051    -77153755.820406    -33376642.048952        16.402040969       -22.531525651        -9.790879650        1
2023-04-25B04:28:30.000   -125948163.961137    -77154431.757491    -33376935.771983        16.402953815       -22.530946081        -9.790655507        1
2023-04-25B04:29: 0.000   -125947671.858791    -77155107.677133    -33377229.488265        16.403869720       -22.530362748        -9.790429695        1
2023-04-25B04:29:30.000   -125947179.728923    -77155783.579218    -33377523.197748        16.404788702       -22.529775616        -9.790202195        1
2023-04-25B04:30: 0.000   -125946687.571438    -77156459.463632    -33377816.900380        16.405710776       -22.529184648        -9.789972991        1
2023-04-25B04:30:30.000   -125946195.386245    -77157135.330258    -33378110.596110        16.406635958       -22.528589810        -9.789742066        1
2023-04-25B04:31: 0.000   -125945703.173250    -77157811.178981    -33378404.284886        16.407564267       -22.527991064        -9.789509403        1
2023-04-25B04:31:30.000   -125945210.932358    -77158487.009683    -33378697.966657        16.408495717       -22.527388373        -9.789274984        1
2023-04-25B04:32: 0.000   -125944718.663475    -77159162.822244    -33378991.641368        16.409430327       -22.526781701        -9.789038791        1
2023-04-25B04:32:30.000   -125944226.366506    -77159838.616545    -33379285.308966        16.410368112       -22.526171008        -9.788800807        1
2023-04-25B04:33: 0.000   -125943734.041356    -77160514.392464    -33379578.969398        16.411309089       -22.525556257        -9.788561012        1
2023-04-25B04:33:30.000   -125943241.687929    -77161190.149879    -33379872.622609        16.412253276       -22.524937410        -9.788319390        1
2023-04-25B04:34: 0.000   -125942749.306127    -77161865.888667    -33380166.268543        16.413200689       -22.524314425        -9.788075920        1
2023-04-25B04:34:30.000   -125942256.895855    -77162541.608703    -33380459.907145        16.414151345       -22.523687265        -9.787830585        1
2023-04-25B04:35: 0.000   -125941764.457014    -77163217.309861    -33380753.538359        16.415105262       -22.523055888        -9.787583364        1
2023-04-25B04:35:30.000   -125941271.989507    -77163892.992014    -33381047.162128        16.416062457       -22.522420255        -9.787334239        1
2023-04-25B04:36: 0.000   -125940779.493234    -77164568.655033    -33381340.778394        16.417022947       -22.521780323        -9.787083190        1
2023-04-25B04:36:30.000   -125940286.968097    -77165244.298790    -33381634.387100        16.417986749       -22.521136051        -9.786830197        1
2023-04-25B04:37: 0.000   -125939794.413996    -77165919.923152    -33381927.988186        16.418953881       -22.520487397        -9.786575240        1
2023-04-25B04:37:30.000   -125939301.830830    -77166595.527989    -33382221.581595        16.419924360       -22.519834318        -9.786318298        1
2023-04-25B04:38: 0.000   -125938809.218500    -77167271.113167    -33382515.167264        16.420898203       -22.519176771        -9.786059351        1
2023-04-25B04:38:30.000   -125938316.576904    -77167946.678550    -33382808.745135        16.421875429       -22.518514712        -9.785798378        1
2023-04-25B04:39: 0.000   -125937823.905941    -77168622.224004    -33383102.315146        16.422856055       -22.517848097        -9.785535357        1
2023-04-25B04:39:30.000   -125937331.205507    -77169297.749390    -33383395.877236        16.423840099       -22.517176881        -9.785270268        1
2023-04-25B04:40: 0.000   -125936838.475500    -77169973.254570    -33383689.431342        16.424827577       -22.516501018        -9.785003088        1
2023-04-25B04:40:30.000   -125936345.715818    -77170648.739404    -33383982.977400        16.425818509       -22.515820463        -9.784733795        1
2023-04-25B04:41: 0.000   -125935852.926355    -77171324.203751    -33384276.515348        16.426812912       -22.515135169        -9.784462367        1
2023-04-25B04:41:30.000   -125935360.107008    -77171999.647466    -33384570.045121        16.427810804       -22.514445089        -9.784188782        1
2023-04-25B04:42: 0.000   -125934867.257672    -77172675.070408    -33384863.566653        16.428812203       -22.513750175        -9.783913016        1
2023-04-25B04:42:30.000   -125934374.378241    -77173350.472428    -33385157.079880        16.429817127       -22.513050379        -9.783635047        1
2023-04-25B04:43: 0.000   -125933881.468609    -77174025.853381    -33385450.584734        16.430825594       -22.512345652        -9.783354850        1
2023-04-25B04:43:30.000   -125933388.528669    -77174701.213118    -33385744.081148        16.431837622       -22.511635945        -9.783072402        1
2023-04-25B04:44: 0.000   -125932895.558316    -77175376.551487    -33386037.569055        16.432853229       -22.510921207        -9.782787679        1
2023-04-25B04:44:30.000   -125932402.557440    -77176051.868339    -33386331.048386        16.433872433       -22.510201387        -9.782500656        1
2023-04-25B04:45: 0.000   -125931909.525933    -77176727.163519    -33386624.519071        16.434895254       -22.509476435        -9.782211309        1
2023-04-25B04:45:30.000   -125931416.463688    -77177402.436873    -33386917.981041        16.435921708       -22.508746297        -9.781919612        1
2023-04-25B04:46: 0.000   -125930923.370594    -77178077.688245    -33387211.434224        16.436951815       -22.508010922        -9.781625540        1
2023-04-25B04:46:30.000   -125930430.246542    -77178752.917476    -33387504.878549        16.437985592       -22.507270256        -9.781329068        1
2023-04-25B04:47: 0.000   -125929937.091422    -77179428.124407    -33387798.313944        16.439023058       -22.506524245        -9.781030168        1
2023-04-25B04:47:30.000   -125929443.905122    -77180103.308877    -33388091.740335        16.440064231       -22.505772835        -9.780728815        1
2023-04-25B04:48: 0.000   -125928950.687531    -77180778.470722    -33388385.157648        16.441109130       -22.505015969        -9.780424982        1
2023-04-25B04:48:30.000   -125928457.438537    -77181453.609779    -33388678.565809        16.442157774       -22.504253591        -9.780118641        1
2023-04-25B04:49: 0.000   -125927964.158027    -77182128.725882    -33388971.964741        16.443210180       -22.503485646        -9.779809765        1
2023-04-25B04:49:30.000   -125927470.845888    -77182803.818862    -33389265.354369        16.444266367       -22.502712075        -9.779498326        1
2023-04-25B04:50: 0.000   -125926977.502007    -77183478.888550    -33389558.734615        16.445326354       -22.501932819        -9.779184296        1
2023-04-25B04:50:30.000   -125926484.126269    -77184153.934774    -33389852.105400        16.446390159       -22.501147820        -9.778867646        1
2023-04-25B04:51: 0.000   -125925990.718559    -77184828.957361    -33390145.466647        16.447457800       -22.500357019        -9.778548347        1
2023-04-25B04:51:30.000   -125925497.278762    -77185503.956136    -33390438.818274        16.448529297       -22.499560353        -9.778226369        1
2023-04-25B04:52: 0.000   -125925003.806762    -77186178.930923    -33390732.160202        16.449604667       -22.498757762        -9.777901682        1
2023-04-25B04:52:30.000   -125924510.302443    -77186853.881542    -33391025.492348        16.450683929       -22.497949184        -9.777574257        1
2023-04-25B04:53: 0.000   -125924016.765687    -77187528.807813    -33391318.814630        16.451767102       -22.497134556        -9.777244063        1
2023-04-25B04:53:30.000   -125923523.196378    -77188203.709554    -33391612.126964        16.452854204       -22.496313813        -9.776911068        1
2023-04-25B04:54: 0.000   -125923029.594396    -77188878.586580    -33391905.429266        16.453945253       -22.495486892        -9.776575241        1
2023-04-25B04:54:30.000   -125922535.959623    -77189553.438705    -33392198.721450        16.455040268       -22.494653726        -9.776236549        1
2023-04-25B04:55: 0.000   -125922042.291940    -77190228.265741    -33392492.003430        16.456139268       -22.493814250        -9.775894962        1
2023-04-25B04:55:30.000   -125921548.591227    -77190903.067497    -33392785.275118        16.457242270       -22.492968395        -9.775550444        1
2023-04-25B04:56: 0.000   -125921054.857363    -77191577.843780    -33393078.536427        16.458349293       -22.492116095        -9.775202964        1
2023-04-25B04:56:30.000   -125920561.090229    -77192252.594397    -33393371.787266        16.459460355       -22.491257279        -9.774852487        1
2023-04-25B04:57: 0.000   -125920067.289701    -77192927.319151    -33393665.027545        16.460575475       -22.490391878        -9.774498979        1
2023-04-25B04:57:30.000   -125919573.455660    -77193602.017843    -33393958.257174        16.461694671       -22.489519821        -9.774142406        1
2023-04-25B04:58: 0.000   -125919079.587980    -77194276.690273    -33394251.476059        16.462817960       -22.488641036        -9.773782732        1
2023-04-25B04:58:30.000   -125918585.686541    -77194951.336237    -33394544.684107        16.463945361       -22.487755451        -9.773419921        1
2023-04-25B04:59: 0.000   -125918091.751217    -77195625.955531    -33394837.881222        16.465076892       -22.486862992        -9.773053937        1
2023-04-25B04:59:30.000   -125917597.781886    -77196300.547947    -33395131.067311        16.466212571       -22.485963583        -9.772684744        1
2023-04-25B05:00: 0.000   -125917103.778421    -77196975.113276    -33395424.242275        16.467352415       -22.485057150        -9.772312304        1
2023-04-25B05:00:30.000   -125916609.740699    -77197649.651305    -33395717.406016        16.468496442       -22.484143616        -9.771936579        1
2023-04-25B05:01: 0.000   -125916115.668593    -77198324.161821    -33396010.558436        16.469644671       -22.483222902        -9.771557531        1
2023-04-25B05:01:30.000   -125915621.561977    -77198998.644607    -33396303.699434        16.470797117       -22.482294931        -9.771175121        1
2023-04-25B05:02: 0.000   -125915127.420724    -77199673.099444    -33396596.828909        16.471953800       -22.481359621        -9.770789310        1
2023-04-25B05:02:30.000   -125914633.244706    -77200347.526110    -33396889.946758        16.473114736       -22.480416893        -9.770400058        1
2023-04-25B05:03: 0.000   -125914139.033797    -77201021.924382    -33397183.052878        16.474279942       -22.479466664        -9.770007324        1
2023-04-25B05:03:30.000   -125913644.787867    -77201696.294034    -33397476.147163        16.475449436       -22.478508852        -9.769611067        1
2023-04-25B05:04: 0.000   -125913150.506788    -77202370.634837    -33397769.229506        16.476623233       -22.477543371        -9.769211245        1
2023-04-25B05:04:30.000   -125912656.190430    -77203044.946559    -33398062.299801        16.477801352       -22.476570136        -9.768807817        1
2023-04-25B05:05: 0.000   -125912161.838663    -77203719.228967    -33398355.357939        16.478983808       -22.475589062        -9.768400738        1
2023-04-25B05:05:30.000   -125911667.451357    -77204393.481823    -33398648.403809        16.480170619       -22.474600059        -9.767989966        1
2023-04-25B05:06: 0.000   -125911173.028382    -77205067.704890    -33398941.437299        16.481361799       -22.473603040        -9.767575456        1
2023-04-25B05:06:30.000   -125910678.569606    -77205741.897925    -33399234.458298        16.482557365       -22.472597913        -9.767157164        1
2023-04-25B05:07: 0.000   -125910184.074896    -77206416.060683    -33399527.466691        16.483757334       -22.471584588        -9.766735044        1
2023-04-25B05:07:30.000   -125909689.544121    -77207090.192917    -33399820.462362        16.484961720       -22.470562973        -9.766309050        1
2023-04-25B05:08: 0.000   -125909194.977149    -77207764.294377    -33400113.445195        16.486170539       -22.469532972        -9.765879135        1
2023-04-25B05:08:30.000   -125908700.373845    -77208438.364810    -33400406.415071        16.487383805       -22.468494491        -9.765445252        1
2023-04-25B05:09: 0.000   -125908205.734076    -77209112.403961    -33400699.371870        16.488601535       -22.467447433        -9.765007352        1
2023-04-25B05:09:30.000   -125907711.057708    -77209786.411570    -33400992.315471        16.489823743       -22.466391701        -9.764565387        1
2023-04-25B05:10: 0.000   -125907216.344606    -77210460.387375    -33401285.245752        16.491050442       -22.465327195        -9.764119307        1
2023-04-25B05:10:30.000   -125906721.594636    -77211134.331113    -33401578.162588        16.492281647       -22.464253814        -9.763669061        1
2023-04-25B05:11: 0.000   -125906226.807662    -77211808.242514    -33401871.065853        16.493517372       -22.463171457        -9.763214600        1
2023-04-25B05:11:30.000   -125905731.983549    -77212482.121309    -33402163.955421        16.494757630       -22.462080021        -9.762755870        1
2023-04-25B05:12: 0.000   -125905237.122159    -77213155.967224    -33402456.831162        16.496002435       -22.460979400        -9.762292819        1
2023-04-25B05:12:30.000   -125904742.223357    -77213829.779980    -33402749.692946        16.497251798       -22.459869488        -9.761825395        1
2023-04-25B05:13: 0.000   -125904247.287005    -77214503.559299    -33403042.540642        16.498505733       -22.458750177        -9.761353542        1
