 本行信息时间(北京时间)     位置X(km,WGS84)     位置Y(km,WGS84)     位置Z(km,WGS84)  速度VX(km/s,WGS84)  速度VY(km/s,WGS84)  速度VZ(km/s,WGS84)    定轨或预报
2023-04-20B14:20:30.000         3631.669655        18741.130316         4986.404386        -1.029098334         4.748956853         2.742811716        1
2023-04-20B14:21: 0.000         3601.032620        18883.275674         5068.572484        -1.013357857         4.727465982         2.735069770        1
2023-04-20B14:21:30.000         3570.868899        19024.782166         5150.509072        -0.997544931         4.706364035         2.727377770        1
2023-04-20B14:22: 0.000         3541.180590        19165.661301         5232.215653        -0.981664477         4.685640463         2.719736046        1
2023-04-20B14:22:30.000         3511.969650        19305.924277         5313.693740        -0.965721169         4.665285046         2.712144862        1
2023-04-20B14:23: 0.000         3483.237895        19445.581988         5394.944852        -0.949719440         4.645287870         2.704604427        1
2023-04-20B14:23:30.000         3454.987016        19584.645037         5475.970515        -0.933663498         4.625639326         2.697114897        1
2023-04-20B14:24: 0.000         3427.218578        19723.123742         5556.772256        -0.917557336         4.606330094         2.689676379        1
2023-04-20B14:24:30.000         3399.934030        19861.028147         5637.351608        -0.901404750         4.587351135         2.682288933        1
2023-04-20B14:25: 0.000         3373.134711        19998.368027         5717.710103        -0.885209339         4.568693682         2.674952577        1
2023-04-20B14:25:30.000         3346.821854        20135.152899         5797.849274        -0.868974524         4.550349228         2.667667293        1
2023-04-20B14:26: 0.000         3320.996592        20271.392029         5877.770651        -0.852703555         4.532309519         2.660433025        1
2023-04-20B14:26:30.000         3295.659962        20407.094439         5957.475765        -0.836399519         4.514566545         2.653249686        1
2023-04-20B14:27: 0.000         3270.812912        20542.268913         6036.966140        -0.820065348         4.497112532         2.646117157        1
2023-04-20B14:27:30.000         3246.456304        20676.924007         6116.243301        -0.803703829         4.479939933         2.639035292        1
2023-04-20B14:28: 0.000         3222.590919        20811.068051         6195.308763        -0.787317612         4.463041421         2.632003922        1
2023-04-20B14:28:30.000         3199.217459        20944.709163         6274.164039        -0.770909214         4.446409882         2.625022851        1
2023-04-20B14:29: 0.000         3176.336554        21077.855246         6352.810635        -0.754481027         4.430038405         2.618091864        1
2023-04-20B14:29:30.000         3153.948762        21210.514002         6431.250049        -0.738035328         4.413920280         2.611210725        1
2023-04-20B14:30: 0.000         3132.054577        21342.692933         6509.483774        -0.721574278         4.398048987         2.604379182        1
2023-04-20B14:30:30.000         3110.654428        21474.399348         6587.513293        -0.705099935         4.382418190         2.597596965        1
2023-04-20B14:31: 0.000         3089.748684        21605.640369         6665.340082        -0.688614254         4.367021735         2.590863791        1
2023-04-20B14:31:30.000         3069.337657        21736.422937         6742.965608        -0.672119096         4.351853639         2.584179361        1
2023-04-20B14:32: 0.000         3049.421605        21866.753815         6820.391328        -0.655616228         4.336908087         2.577543368        1
2023-04-20B14:32:30.000         3030.000733        21996.639593         6897.618691        -0.639107333         4.322179424         2.570955489        1
2023-04-20B14:33: 0.000         3011.075198        22126.086696         6974.649135        -0.622594012         4.307662154         2.564415395        1
2023-04-20B14:33:30.000         2992.645110        22255.101384         7051.484089        -0.606077786         4.293350932         2.557922747        1
2023-04-20B14:34: 0.000         2974.710535        22383.689762         7128.124971        -0.589560102         4.279240558         2.551477197        1
2023-04-20B14:34:30.000         2957.271494        22511.857777         7204.573188        -0.573042338         4.265325975         2.545078391        1
2023-04-20B14:35: 0.000         2940.327971        22639.611230         7280.830138        -0.556525803         4.251602261         2.538725970        1
2023-04-20B14:35:30.000         2923.879910        22766.955775         7356.897206        -0.540011744         4.238064631         2.532419568        1
